
   INFO  Server running on [http://0.0.0.0:8081].  

  Press Ctrl+C to stop the server
  2026-06-19 23:06:38 /api/v1/user/catalogs ...................... ~ 503.24ms
  2026-06-19 23:06:39 /api/v1/user/profiles ........................ ~ 0.13ms
  2026-06-19 23:06:39 /api/v1/user/profiles ........................ ~ 0.10ms
  2026-06-19 23:06:39 /api/v1/internal/geodns/health-view .......... ~ 0.32ms
  2026-06-19 23:06:44 /api/v1/admin/billing/invoices ............. ~ 507.40ms
  2026-06-19 23:06:44 /api/v1/admin/menu-config .................. ~ 508.62ms
  2026-06-19 23:06:48 /api/v1/node/resolver/config ................. ~ 0.06ms
  2026-06-19 23:06:48 /api/v1/node/nodes/heartbeat ................. ~ 0.15ms
  2026-06-19 23:06:50 /api/v1/admin/system-config .................. ~ 0.42ms
  2026-06-19 23:06:52 /api/v1/admin/system-config .................. ~ 0.18ms
  2026-06-19 23:06:52 /api/v1/admin/menu-config .................. ~ 505.13ms
  2026-06-19 23:06:54 /api/v1/internal/geodns/health-view .......... ~ 0.11ms
  2026-06-19 23:06:59 /api/v1/admin/system-config .................. ~ 0.46ms
  2026-06-19 23:06:59 /api/v1/admin/menu-config .................. ~ 505.03ms
  2026-06-19 23:07:00 /api/v1/admin/finance/refunds .............. ~ 504.45ms
  2026-06-19 23:07:02 /api/v1/admin/member-catalogs ................ ~ 0.06ms
  2026-06-19 23:07:02 /api/v1/admin/member-rules ................... ~ 0.15ms
  2026-06-19 23:07:07 /api/v1/admin/member-catalogs .............. ~ 504.50ms
  2026-06-19 23:07:07 /api/v1/admin/menu-config .................. ~ 504.65ms
  2026-06-19 23:07:08 /api/v1/admin/member-rules ................... ~ 0.10ms
  2026-06-19 23:07:09 /api/v1/internal/geodns/health-view .......... ~ 0.65ms
  2026-06-19 23:07:16 /api/v1/admin/member-catalogs .............. ~ 502.15ms
  2026-06-19 23:07:16 /api/v1/admin/menu-config .................. ~ 502.36ms
  2026-06-19 23:07:16 /api/v1/admin/member-rules ................. ~ 505.22ms
  2026-06-19 23:07:18 /api/v1/node/resolver/config ................. ~ 0.11ms
  2026-06-19 23:07:18 /api/v1/node/nodes/heartbeat ................. ~ 1.14ms
  2026-06-19 23:07:24 /api/v1/internal/geodns/health-view .......... ~ 0.33ms
  2026-06-19 23:07:39 /api/v1/internal/geodns/health-view .......... ~ 0.81ms
  2026-06-19 23:07:48 /api/v1/node/resolver/config ................. ~ 0.83ms
  2026-06-19 23:07:48 /api/v1/node/nodes/heartbeat ................. ~ 1.12ms
  2026-06-19 23:07:54 /api/v1/admin/login .......................... ~ 0.18ms
  2026-06-19 23:07:54 /api/v1/admin/overview ..................... ~ 500.88ms
  2026-06-19 23:07:54 /api/v1/admin/menu-config .................. ~ 501.14ms
  2026-06-19 23:07:54 /api/v1/internal/geodns/health-view .......... ~ 0.02ms
  2026-06-19 23:08:02 /api/v1/admin/member-catalogs ................ ~ 0.18ms
  2026-06-19 23:08:02 /api/v1/admin/member-rules ................... ~ 0.02ms
  2026-06-19 23:08:02 /api/v1/admin/menu-config .................... ~ 0.09ms
  2026-06-19 23:08:09 /api/v1/internal/geodns/health-view .......... ~ 0.21ms
  2026-06-19 23:08:18 /api/v1/node/nodes/heartbeat ................. ~ 0.25ms
